Edge		Weight
193 - 175		14
193 - 176		14
193 - 177		12
193 - 178		12
193 - 179		8
193 - 180		2
193 - 181		2
193 - 182		8
193 - 183		14
193 - 184		14
193 - 185		14
193 - 186		14
193 - 187		14
193 - 188		14
193 - 189		14
193 - 190		14
193 - 191		6
193 - 192		4
193 - 194		10
194 - 0		7
194 - 1		12
194 - 2		12
194 - 3		12
194 - 4		12
194 - 5		12
194 - 6		12
194 - 7		12
194 - 8		12
194 - 9		12
194 - 10		12
194 - 11		12
194 - 12		12
194 - 13		12
194 - 14		12
194 - 15		12
194 - 16		12
194 - 17		12
194 - 18		12
194 - 19		12
194 - 20		12
194 - 21		12
194 - 22		12
194 - 23		12
194 - 24		12
194 - 25		12
194 - 26		12
194 - 27		12
194 - 28		12
194 - 29		12
194 - 30		12
194 - 31		12
194 - 32		12
194 - 33		12
194 - 34		12
194 - 35		12
194 - 36		12
194 - 37		12
194 - 38		12
194 - 39		12
194 - 40		12
194 - 41		12
194 - 42		12
194 - 43		12
194 - 44		12
194 - 45		12
194 - 46		12
194 - 47		12
194 - 48		12
194 - 49		12
194 - 50		12
194 - 51		12
194 - 52		12
194 - 53		12
194 - 54		12
194 - 55		12
194 - 56		12
194 - 57		12
194 - 58		12
194 - 59		12
194 - 60		12
194 - 61		12
194 - 62		12
194 - 63		12
194 - 64		12
194 - 65		12
194 - 66		12
194 - 67		12
194 - 68		12
194 - 69		12
194 - 70		12
194 - 71		12
194 - 72		12
194 - 73		12
194 - 74		12
194 - 75		12
194 - 76		11
194 - 77		12
194 - 78		12
194 - 79		12
194 - 80		12
194 - 81		12
194 - 82		12
194 - 83		12
194 - 84		12
194 - 85		11
194 - 86		11
194 - 87		11
194 - 88		11
194 - 89		12
194 - 90		12
194 - 91		12
194 - 92		12
194 - 93		12
194 - 94		11
194 - 95		11
194 - 96		11
194 - 97		12
194 - 98		10
194 - 99		11
194 - 100		11
194 - 101		11
194 - 102		12
194 - 103		11
194 - 104		12
194 - 105		11
194 - 106		10
194 - 107		9
194 - 108		12
194 - 109		12
194 - 110		12
194 - 111		10
194 - 112		12
194 - 113		13
194 - 114		14
194 - 115		12
194 - 116		11
194 - 117		8
194 - 118		13
194 - 119		14
194 - 120		12
194 - 121		9
194 - 122		13
194 - 123		14
194 - 124		14
194 - 125		14
194 - 126		14
194 - 127		12
194 - 128		10
194 - 129		10
194 - 130		10
194 - 131		7
194 - 132		14
194 - 133		14
194 - 134		14
194 - 135		14
194 - 136		14
194 - 137		14
194 - 138		14
194 - 139		12
194 - 140		10
194 - 141		8
194 - 142		14
194 - 143		14
194 - 144		14
194 - 145		14
194 - 146		14
194 - 147		14
194 - 148		14
194 - 149		14
194 - 150		14
194 - 151		12
194 - 152		10
194 - 153		8
194 - 154		8
194 - 155		6
194 - 156		8
194 - 157		6
194 - 158		14
194 - 159		14
194 - 160		14
194 - 161		14
194 - 162		14
194 - 163		14
194 - 164		14
194 - 165		14
194 - 166		12
194 - 167		10
194 - 168		6
194 - 169		4
194 - 170		4
194 - 171		14
194 - 172		14
194 - 173		14
194 - 174		14
194 - 175		14
194 - 176		14
194 - 177		14
194 - 178		14
194 - 179		14
194 - 180		12
194 - 181		8
194 - 182		2
194 - 183		14
194 - 184		14
194 - 185		14
194 - 186		14
194 - 187		14
194 - 188		14
194 - 189		14
194 - 190		14
194 - 191		14
194 - 192		14
194 - 193		10
194 - 195		4
195 - 0		7
195 - 1		12
195 - 2		12
195 - 3		12
195 - 4		12
195 - 5		12
195 - 6		12
195 - 7		12
195 - 8		12
195 - 9		12
195 - 10		12
195 - 11		12
195 - 12		12
195 - 13		12
195 - 14		12
195 - 15		12
195 - 16		12
195 - 17		12
195 - 18		12
195 - 19		12
195 - 20		12
195 - 21		12
195 - 22		12
195 - 23		12
195 - 24		12
195 - 25		12
195 - 26		12
195 - 27		12
195 - 28		12
195 - 29		12
195 - 30		10
195 - 31		12
195 - 32		12
195 - 33		12
195 - 34		12
195 - 35		12
195 - 36		10
195 - 37		12
195 - 38		12
195 - 39		12
195 - 40		12
195 - 41		12
195 - 42		12
195 - 43		12
195 - 44		12
195 - 45		12
195 - 46		12
195 - 47		10
195 - 48		12
195 - 49		12
195 - 50		12
195 - 51		12
195 - 52		12
195 - 53		12
195 - 54		12
195 - 55		12
195 - 56		12
195 - 57		12
195 - 58		12
195 - 59		12
195 - 60		10
195 - 61		10
195 - 62		12
195 - 63		12
195 - 64		12
195 - 65		12
195 - 66		12
195 - 67		12
195 - 68		12
195 - 69		12
195 - 70		12
195 - 71		12
195 - 72		12
195 - 73		12
195 - 74		12
195 - 75		12
195 - 76		13
195 - 77		12
195 - 78		10
195 - 79		12
195 - 80		12
195 - 81		12
195 - 82		12
195 - 83		12
195 - 84		12
195 - 85		11
195 - 86		13
195 - 87		13
195 - 88		13
195 - 89		12
195 - 90		10
195 - 91		12
195 - 92		12
195 - 93		12
195 - 94		11
195 - 95		11
195 - 96		11
195 - 97		12
195 - 98		10
195 - 99		13
195 - 100		11
195 - 101		11
195 - 102		12
195 - 103		13
195 - 104		10
195 - 105		11
195 - 106		10
195 - 107		9
195 - 108		12
195 - 109		14
195 - 110		10
195 - 111		10
195 - 112		12
195 - 113		13
195 - 114		14
195 - 115		10
195 - 116		11
195 - 117		8
195 - 118		13
195 - 119		14
195 - 120		14
195 - 121		9
195 - 122		13
195 - 123		14
195 - 124		14
195 - 125		14
195 - 126		14
195 - 127		14
195 - 128		12
195 - 129		8
195 - 130		8
195 - 131		9
195 - 132		14
195 - 133		14
195 - 134		14
195 - 135		14
195 - 136		14
195 - 137		14
195 - 138		14
195 - 139		14
195 - 140		12
195 - 141		8
195 - 142		14
195 - 143		14
195 - 144		14
195 - 145		14
195 - 146		14
195 - 147		14
195 - 148		14
195 - 149		14
195 - 150		14
195 - 151		14
195 - 152		12
195 - 153		10
195 - 154		10
195 - 155		6
195 - 156		8
195 - 157		6
195 - 158		14
195 - 159		14
195 - 160		14
195 - 161		14
195 - 162		14
195 - 163		14
195 - 164		14
195 - 165		14
195 - 166		14
195 - 167		12
195 - 168		10
195 - 169		8
195 - 170		4
195 - 171		14
195 - 172		14
195 - 173		14
195 - 174		14
195 - 175		14
195 - 176		14
195 - 177		14
195 - 178		14
195 - 179		14
195 - 180		14
195 - 181		12
195 - 182		6
195 - 183		14
195 - 184		14
195 - 185		14
195 - 186		14
195 - 187		14
195 - 188		14
195 - 189		14
195 - 190		14
195 - 191		14
195 - 192		14
195 - 193		14
195 - 194		4
195 - 196		14
196 - 0		7
196 - 1		12
196 - 2		12
196 - 3		12
196 - 4		12
196 - 5		12
196 - 6		12
196 - 7		12
196 - 8		12
196 - 9		12
196 - 10		12
196 - 11		12
196 - 12		12
196 - 13		12
196 - 14		12
196 - 15		12
196 - 16		12
196 - 17		12
196 - 18		12
196 - 19		12
196 - 20		12
196 - 21		12
196 - 22		12
196 - 23		12
196 - 24		12
196 - 25		12
196 - 26		12
196 - 27		12
196 - 28		12
196 - 29		12
196 - 30		12
196 - 31		12
196 - 32		12
196 - 33		12
196 - 34		12
196 - 35		12
196 - 36		12
196 - 37		12
196 - 38		12
196 - 39		12
196 - 40		12
196 - 41		12
196 - 42		12
196 - 43		12
196 - 44		12
196 - 45		12
196 - 46		12
196 - 47		12
196 - 48		12
196 - 49		12
196 - 50		12
196 - 51		12
196 - 52		12
196 - 53		12
196 - 54		12
196 - 55		12
196 - 56		12
196 - 57		12
196 - 58		12
196 - 59		12
196 - 60		12
196 - 61		12
196 - 62		12
196 - 63		12
196 - 64		12
196 - 65		12
196 - 66		12
196 - 67		12
196 - 68		12
196 - 69		12
196 - 70		12
196 - 71		12
196 - 72		12
196 - 73		12
196 - 74		12
196 - 75		12
196 - 76		11
196 - 77		12
196 - 78		12
196 - 79		12
196 - 80		12
196 - 81		12
196 - 82		12
196 - 83		12
196 - 84		12
196 - 85		11
196 - 86		11
196 - 87		11
196 - 88		11
196 - 89		12
196 - 90		12
196 - 91		12
196 - 92		12
196 - 93		12
196 - 94		11
196 - 95		11
196 - 96		11
196 - 97		10
196 - 98		12
196 - 99		11
196 - 100		11
196 - 101		9
196 - 102		10
196 - 103		11
196 - 104		12
196 - 105		11
196 - 106		12
196 - 107		11
196 - 108		10
196 - 109		12
196 - 110		12
196 - 111		12
196 - 112		8
196 - 113		11
196 - 114		12
196 - 115		14
196 - 116		13
196 - 117		12
196 - 118		9
196 - 119		10
196 - 120		12
196 - 121		13
196 - 122		9
196 - 123		10
196 - 124		10
196 - 125		10
196 - 126		12
196 - 127		14
196 - 128		14
196 - 129		14
196 - 130		14
196 - 131		13
196 - 132		10
196 - 133		10
196 - 134		12
196 - 135		12
196 - 136		14
196 - 137		14
196 - 138		14
196 - 139		14
196 - 140		14
196 - 141		14
196 - 142		8
196 - 143		10
196 - 144		8
196 - 145		8
196 - 146		8
196 - 147		10
196 - 148		12
196 - 149		14
196 - 150		14
196 - 151		14
196 - 152		14
196 - 153		14
196 - 154		14
196 - 155		14
196 - 156		14
196 - 157		14
196 - 158		6
196 - 159		6
196 - 160		8
196 - 161		10
196 - 162		12
196 - 163		14
196 - 164		14
196 - 165		14
196 - 166		14
196 - 167		14
196 - 168		14
196 - 169		14
196 - 170		14
196 - 171		4
196 - 172		10
196 - 173		12
196 - 174		14
196 - 175		14
196 - 176		14
196 - 177		14
196 - 178		14
196 - 179		14
196 - 180		14
196 - 181		14
196 - 182		14
196 - 183		2
196 - 184		2
196 - 185		12
196 - 186		14
196 - 187		14
196 - 188		14
196 - 189		14
196 - 190		14
196 - 191		14
196 - 192		14
196 - 193		14
196 - 194		14
196 - 195		14
196 - 197		14
197 - 0		7
197 - 1		12
197 - 2		12
197 - 3		12
197 - 4		12
197 - 5		12
197 - 6		12
197 - 7		12
197 - 8		12
197 - 9		12
197 - 10		12
197 - 11		12
197 - 12		12
197 - 13		12
197 - 14		12
197 - 15		12
197 - 16		12
197 - 17		12
197 - 18		12
197 - 19		12
197 - 20		12
197 - 21		12
197 - 22		12
197 - 23		12
197 - 24		12
197 - 25		12
197 - 26		12
197 - 27		12
197 - 28		12
197 - 29		12
197 - 30		12
197 - 31		12
197 - 32		12
197 - 33		12
197 - 34		12
197 - 35		12
197 - 36		12
197 - 37		12
197 - 38		12
197 - 39		12
197 - 40		12
197 - 41		12
197 - 42		12
197 - 43		12
197 - 44		12
197 - 45		12
197 - 46		12
197 - 47		12
197 - 48		12
197 - 49		12
197 - 50		12
197 - 51		12
197 - 52		12
197 - 53		12
197 - 54		12
197 - 55		12
197 - 56		12
197 - 57		12
197 - 58		12
197 - 59		12
197 - 60		12
197 - 61		12
197 - 62		12
197 - 63		12
197 - 64		12
197 - 65		12
197 - 66		12
197 - 67		12
197 - 68		12
197 - 69		12
197 - 70		12
197 - 71		12
197 - 72		12
197 - 73		12
197 - 74		12
197 - 75		12
197 - 76		11
197 - 77		12
197 - 78		12
197 - 79		12
197 - 80		12
197 - 81		12
197 - 82		12
197 - 83		12
197 - 84		12
197 - 85		11
197 - 86		11
197 - 87		11
197 - 88		11
197 - 89		12
197 - 90		12
197 - 91		12
197 - 92		12
197 - 93		12
197 - 94		11
197 - 95		11
197 - 96		11
197 - 97		10
197 - 98		10
197 - 99		11
197 - 100		11
197 - 101		9
197 - 102		10
197 - 103		11
197 - 104		12
197 - 105		11
197 - 106		10
197 - 107		11
197 - 108		10
197 - 109		12
197 - 110		12
197 - 111		12
197 - 112		10
197 - 113		9
197 - 114		10
197 - 115		12
197 - 116		13
197 - 117		12
197 - 118		11
197 - 119		10
197 - 120		10
197 - 121		13
197 - 122		9
197 - 123		10
197 - 124		10
197 - 125		10
197 - 126		10
197 - 127		10
197 - 128		12
197 - 129		14
197 - 130		14
197 - 131		13
197 - 132		10
197 - 133		10
197 - 134		8
197 - 135		10
197 - 136		8
197 - 137		10
197 - 138		10
197 - 139		12
197 - 140		14
197 - 141		14
197 - 142		10
197 - 143		8
197 - 144		8
197 - 145		8
197 - 146		10
197 - 147		8
197 - 148		8
197 - 149		8
197 - 150		12
197 - 151		14
197 - 152		14
197 - 153		14
197 - 154		14
197 - 155		14
197 - 156		14
197 - 157		14
197 - 158		10
197 - 159		8
197 - 160		6
197 - 161		6
197 - 162		6
197 - 163		6
197 - 164		8
197 - 165		14
197 - 166		14
197 - 167		14
197 - 168		14
197 - 169		14
197 - 170		14
197 - 171		10
197 - 172		4
197 - 173		4
197 - 174		10
197 - 175		10
197 - 176		12
197 - 177		12
197 - 178		14
197 - 179		14
197 - 180		14
197 - 181		14
197 - 182		14
197 - 183		14
197 - 184		12
197 - 185		2
197 - 186		2
197 - 187		4
197 - 188		12
197 - 189		14
197 - 190		14
197 - 191		14
197 - 192		14
197 - 193		14
197 - 194		14
197 - 195		14
197 - 196		14
197 - 198		14
198 - 0		7
198 - 1		12
198 - 2		12
198 - 3		12
198 - 4		12
198 - 5		12
198 - 6		12
198 - 7		12
198 - 8		12
198 - 9		12
198 - 10		12
198 - 11		12
198 - 12		12
198 - 13		12
198 - 14		12
198 - 15		12
198 - 16		12
198 - 17		12
198 - 18		12
198 - 19		12
198 - 20		12
198 - 21		12
198 - 22		12
198 - 23		12
198 - 24		12
198 - 25		12
198 - 26		12
198 - 27		12
198 - 28		12
198 - 29		12
198 - 30		12
198 - 31		12
198 - 32		12
198 - 33		12
198 - 34		12
198 - 35		12
198 - 36		12
198 - 37		12
198 - 38		12
198 - 39		12
198 - 40		12
198 - 41		12
198 - 42		12
198 - 43		12
198 - 44		12
198 - 45		12
198 - 46		12
198 - 47		12
198 - 48		12
198 - 49		12
198 - 50		12
198 - 51		12
198 - 52		12
198 - 53		12
198 - 54		12
198 - 55		12
198 - 56		12
198 - 57		12
198 - 58		12
198 - 59		12
198 - 60		12
198 - 61		12
198 - 62		12
198 - 63		12
198 - 64		12
198 - 65		12
198 - 66		12
198 - 67		12
198 - 68		12
198 - 69		12
198 - 70		12
198 - 71		12
198 - 72		12
198 - 73		12
198 - 74		12
198 - 75		12
198 - 76		11
198 - 77		12
198 - 78		12
198 - 79		12
198 - 80		12
198 - 81		12
198 - 82		12
198 - 83		12
198 - 84		12
198 - 85		11
198 - 86		11
198 - 87		11
198 - 88		11
198 - 89		12
198 - 90		12
198 - 91		12
198 - 92		12
198 - 93		12
198 - 94		11
198 - 95		11
198 - 96		11
198 - 97		10
198 - 98		10
198 - 99		11
198 - 100		11
198 - 101		11
198 - 102		10
198 - 103		11
198 - 104		12
198 - 105		11
198 - 106		10
198 - 107		9
198 - 108		12
198 - 109		12
198 - 110		12
198 - 111		10
198 - 112		12
198 - 113		13
198 - 114		12
198 - 115		10
198 - 116		9
198 - 117		10
198 - 118		13
198 - 119		10
198 - 120		10
198 - 121		11
198 - 122		13
198 - 123		14
198 - 124		14
198 - 125		12
198 - 126		10
198 - 127		10
198 - 128		10
198 - 129		10
198 - 130		10
198 - 131		9
198 - 132		14
198 - 133		14
198 - 134		12
198 - 135		12
198 - 136		10
198 - 137		10
198 - 138		8
198 - 139		10
198 - 140		10
198 - 141		10
198 - 142		14
198 - 143		14
198 - 144		14
198 - 145		14
198 - 146		14
198 - 147		14
198 - 148		14
198 - 149		12
198 - 150		8
198 - 151		8
198 - 152		8
198 - 153		10
198 - 154		8
198 - 155		8
198 - 156		8
198 - 157		10
198 - 158		14
198 - 159		14
198 - 160		14
198 - 161		14
198 - 162		14
198 - 163		14
198 - 164		14
198 - 165		8
198 - 166		6
198 - 167		6
198 - 168		6
198 - 169		8
198 - 170		10
198 - 171		14
198 - 172		14
198 - 173		14
198 - 174		14
198 - 175		12
198 - 176		12
198 - 177		10
198 - 178		10
198 - 179		6
198 - 180		4
198 - 181		4
198 - 182		10
198 - 183		14
198 - 184		14
198 - 185		14
198 - 186		14
198 - 187		14
198 - 188		14
198 - 189		14
198 - 190		12
198 - 191		4
198 - 192		2
198 - 193		2
198 - 194		12
198 - 195		14
198 - 196		14
198 - 197		14
198 - 199		14
199 - 0		7
199 - 1		12
199 - 2		12
199 - 3		12
199 - 4		12
199 - 5		12
199 - 6		12
199 - 7		12
199 - 8		12
199 - 9		12
199 - 10		12
199 - 11		12
199 - 12		12
199 - 13		12
199 - 14		12
199 - 15		12
199 - 16		12
199 - 17		12
199 - 18		12
199 - 19		12
199 - 20		12
199 - 21		12
199 - 22		12
199 - 23		12
199 - 24		12
199 - 25		12
199 - 26		12
199 - 27		12
199 - 28		12
199 - 29		12
199 - 30		12
199 - 31		12
199 - 32		12
199 - 33		12
199 - 34		12
199 - 35		12
199 - 36		12
199 - 37		12
199 - 38		12
199 - 39		12
199 - 40		12
199 - 41		12
199 - 42		12
199 - 43		12
199 - 44		12
199 - 45		12
199 - 46		12
199 - 47		12
199 - 48		12
199 - 49		12
199 - 50		12
199 - 51		12
199 - 52		12
199 - 53		12
199 - 54		12
199 - 55		12
199 - 56		12
199 - 57		12
199 - 58		12
199 - 59		12
199 - 60		12
199 - 61		12
199 - 62		12
199 - 63		12
199 - 64		12
199 - 65		12
199 - 66		12
199 - 67		12
199 - 68		12
199 - 69		12
199 - 70		12
199 - 71		12
199 - 72		12
199 - 73		12
199 - 74		12
199 - 75		12
199 - 76		11
199 - 77		12
199 - 78		12
199 - 79		12
199 - 80		12
199 - 81		12
199 - 82		12
199 - 83		12
199 - 84		12
199 - 85		11
199 - 86		11
199 - 87		11
199 - 88		11
199 - 89		12
199 - 90		12
199 - 91		12
199 - 92		12
199 - 93		12
199 - 94		11
199 - 95		11
199 - 96		11
199 - 97		12
199 - 98		10
199 - 99		11
199 - 100		11
199 - 101		11
199 - 102		12
199 - 103		11
199 - 104		12
199 - 105		11
199 - 106		10
199 - 107		9
199 - 108		12
199 - 109		12
199 - 110		12
199 - 111		10
199 - 112		12
199 - 113		13
199 - 114		14
199 - 115		12
199 - 116		11
199 - 117		8
199 - 118		13
199 - 119		14
199 - 120		12
199 - 121		9
199 - 122		13
199 - 123		14
199 - 124		14
199 - 125		14
199 - 126		14
199 - 127		12
199 - 128		10
199 - 129		10
199 - 130		10
199 - 131		9
199 - 132		14
199 - 133		14
199 - 134		14
199 - 135		14
199 - 136		14
199 - 137		14
199 - 138		14
199 - 139		12
199 - 140		10
199 - 141		10
199 - 142		14
199 - 143		14
199 - 144		14
199 - 145		14
199 - 146		14
199 - 147		14
199 - 148		14
199 - 149		14
199 - 150		14
199 - 151		12
199 - 152		10
199 - 153		8
199 - 154		8
199 - 155		8
199 - 156		10
199 - 157		8
199 - 158		14
199 - 159		14
199 - 160		14
199 - 161		14
199 - 162		14
199 - 163		14
199 - 164		14
199 - 165		14
199 - 166		12
199 - 167		10
199 - 168		8
199 - 169		6
199 - 170		6
199 - 171		14
199 - 172		14
199 - 173		14
199 - 174		14
199 - 175		14
199 - 176		14
199 - 177		14
199 - 178		14
199 - 179		14
199 - 180		12
199 - 181		10
199 - 182		4
199 - 183		14
199 - 184		14
199 - 185		14
199 - 186		14
199 - 187		14
199 - 188		14
199 - 189		14
199 - 190		14
199 - 191		14
199 - 192		14
199 - 193		12
199 - 194		2
199 - 195		2
199 - 196		14
199 - 197		14
199 - 198		14
199 - 200		14
200 - 0		7
200 - 1		12
200 - 2		12
200 - 3		12
200 - 4		12
200 - 5		12
200 - 6		12
200 - 7		12
200 - 8		12
200 - 9		12
200 - 10		12
200 - 11		12
200 - 12		14
200 - 13		12
200 - 14		12
200 - 15		12
200 - 16		12
200 - 17		12
200 - 18		12
200 - 19		12
200 - 20		12
200 - 21		12
200 - 22		12
200 - 23		12
200 - 24		12
200 - 25		12
200 - 26		12
200 - 27		12
200 - 28		12
200 - 29		12
200 - 30		12
200 - 31		12
200 - 32		12
200 - 33		12
200 - 34		12
200 - 35		12
200 - 36		12
200 - 37		12
200 - 38		12
200 - 39		12
200 - 40		14
200 - 41		14
200 - 42		12
200 - 43		12
200 - 44		12
200 - 45		12
200 - 46		12
200 - 47		12
200 - 48		12
200 - 49		12
200 - 50		12
200 - 51		12
200 - 52		12
200 - 53		12
200 - 54		12
200 - 55		12
200 - 56		12
200 - 57		12
200 - 58		12
200 - 59		12
200 - 60		12
200 - 61		12
200 - 62		12
200 - 63		12
200 - 64		12
200 - 65		12
200 - 66		14
200 - 67		12
200 - 68		12
200 - 69		12
200 - 70		12
200 - 71		12
200 - 72		12
200 - 73		12
200 - 74		12
200 - 75		12
200 - 76		11
200 - 77		12
200 - 78		12
200 - 79		12
200 - 80		14
200 - 81		12
200 - 82		12
200 - 83		12
200 - 84		12
200 - 85		11
200 - 86		11
200 - 87		11
200 - 88		11
200 - 89		12
200 - 90		12
200 - 91		12
200 - 92		12
200 - 93		12
200 - 94		11
200 - 95		11
200 - 96		11
200 - 97		10
200 - 98		10
200 - 99		11
200 - 100		11
200 - 101		9
200 - 102		10
200 - 103		13
200 - 104		12
200 - 105		11
200 - 106		10
200 - 107		11
200 - 108		10
200 - 109		14
200 - 110		12
200 - 111		12
200 - 112		8
200 - 113		11
200 - 114		14
200 - 115		12
200 - 116		13
200 - 117		12
200 - 118		9
200 - 119		12
200 - 120		10
200 - 121		13
200 - 122		9
200 - 123		12
200 - 124		14
200 - 125		12
200 - 126		10
200 - 127		10
200 - 128		12
200 - 129		14
200 - 130		14
200 - 131		13
200 - 132		10
200 - 133		12
200 - 134		10
200 - 135		10
200 - 136		8
200 - 137		10
200 - 138		10
200 - 139		12
200 - 140		14
200 - 141		14
200 - 142		10
200 - 143		12
200 - 144		12
200 - 145		14
200 - 146		14
200 - 147		12
200 - 148		10
200 - 149		8
200 - 150		12
200 - 151		14
200 - 152		14
200 - 153		14
200 - 154		14
200 - 155		14
200 - 156		14
200 - 157		14
200 - 158		10
200 - 159		12
200 - 160		14
200 - 161		12
200 - 162		10
200 - 163		8
200 - 164		8
200 - 165		14
200 - 166		14
200 - 167		14
200 - 168		14
200 - 169		14
200 - 170		14
200 - 171		10
200 - 172		12
200 - 173		10
200 - 174		10
200 - 175		10
200 - 176		12
200 - 177		12
200 - 178		14
200 - 179		14
200 - 180		14
200 - 181		14
200 - 182		14
200 - 183		6
200 - 184		8
200 - 185		10
200 - 186		8
200 - 187		8
200 - 188		12
200 - 189		14
200 - 190		14
200 - 191		14
200 - 192		14
200 - 193		14
200 - 194		14
200 - 195		14
200 - 196		6
200 - 197		8
200 - 198		14
200 - 199		14
200 - 201		14
201 - 0		7
201 - 1		12
201 - 2		12
201 - 3		12
201 - 4		12
201 - 5		12
201 - 6		12
201 - 7		12
201 - 8		12
201 - 9		12
201 - 10		12
201 - 11		12
201 - 12		12
201 - 13		12
201 - 14		12
201 - 15		12
201 - 16		12
201 - 17		12
201 - 18		12
201 - 19		12
201 - 20		12
201 - 21		12
201 - 22		12
201 - 23		12
201 - 24		14
201 - 25		12
201 - 26		12
201 - 27		12
201 - 28		12
201 - 29		12
201 - 30		12
201 - 31		12
201 - 32		12
201 - 33		12
201 - 34		12
201 - 35		12
201 - 36		12
201 - 37		12
201 - 38		12
201 - 39		12
201 - 40		12
201 - 41		12
201 - 42		12
201 - 43		12
201 - 44		12
201 - 45		12
201 - 46		12
201 - 47		12
201 - 48		12
201 - 49		12
201 - 50		12
201 - 51		12
201 - 52		14
201 - 53		12
201 - 54		12
201 - 55		12
201 - 56		12
201 - 57		12
201 - 58		12
201 - 59		12
201 - 60		12
201 - 61		12
201 - 62		12
201 - 63		12
201 - 64		12
201 - 65		12
201 - 66		12
201 - 67		14
201 - 68		14
201 - 69		12
201 - 70		12
201 - 71		12
201 - 72		12
201 - 73		12
201 - 74		12
201 - 75		12
201 - 76		11
201 - 77		12
201 - 78		12
201 - 79		12
201 - 80		12
201 - 81		14
201 - 82		12
201 - 83		12
201 - 84		12
201 - 85		11
201 - 86		11
201 - 87		11
201 - 88		11
201 - 89		12
201 - 90		12
201 - 91		14
201 - 92		12
201 - 93		12
201 - 94		11
201 - 95		11
201 - 96		11
201 - 97		10
201 - 98		10
201 - 99		11
201 - 100		11
201 - 101		9
201 - 102		10
201 - 103		11
201 - 104		14
201 - 105		11
201 - 106		10
201 - 107		9
201 - 108		10
201 - 109		12
201 - 110		12
201 - 111		10
201 - 112		10
201 - 113		9
201 - 114		10
201 - 115		12
201 - 116		11
201 - 117		10
201 - 118		11
201 - 119		12
201 - 120		14
201 - 121		11
201 - 122		9
201 - 123		10
201 - 124		10
201 - 125		12
201 - 126		14
201 - 127		12
201 - 128		10
201 - 129		10
201 - 130		12
201 - 131		13
201 - 132		10
201 - 133		12
201 - 134		12
201 - 135		14
201 - 136		14
201 - 137		12
201 - 138		12
201 - 139		10
201 - 140		8
201 - 141		14
201 - 142		10
201 - 143		8
201 - 144		8
201 - 145		8
201 - 146		10
201 - 147		10
201 - 148		12
201 - 149		14
201 - 150		10
201 - 151		8
201 - 152		10
201 - 153		10
201 - 154		12
201 - 155		14
201 - 156		14
201 - 157		14
201 - 158		10
201 - 159		8
201 - 160		6
201 - 161		8
201 - 162		10
201 - 163		12
201 - 164		14
201 - 165		8
201 - 166		10
201 - 167		12
201 - 168		14
201 - 169		14
201 - 170		14
201 - 171		10
201 - 172		6
201 - 173		8
201 - 174		12
201 - 175		12
201 - 176		10
201 - 177		10
201 - 178		8
201 - 179		8
201 - 180		12
201 - 181		14
201 - 182		14
201 - 183		14
201 - 184		12
201 - 185		6
201 - 186		8
201 - 187		10
201 - 188		10
201 - 189		8
201 - 190		8
201 - 191		10
201 - 192		12
201 - 193		14
201 - 194		14
201 - 195		14
201 - 196		14
201 - 197		6
201 - 198		14
201 - 199		14
201 - 200		14
201 - 202		14
202 - 0		7
202 - 1		12
202 - 2		12
202 - 3		12
202 - 4		12
202 - 5		12
202 - 6		12
202 - 7		12
202 - 8		12
202 - 9		12
202 - 10		12
202 - 11		14
202 - 12		12
202 - 13		12
202 - 14		12
202 - 15		12
202 - 16		12
202 - 17		12
202 - 18		12
202 - 19		12
202 - 20		12
202 - 21		12
202 - 22		12
202 - 23		12
202 - 24		12
202 - 25		12
202 - 26		12
202 - 27		12
202 - 28		12
202 - 29		12
202 - 30		12
202 - 31		12
202 - 32		12
202 - 33		12
202 - 34		12
202 - 35		12
202 - 36		12
202 - 37		12
202 - 38		12
202 - 39		14
202 - 40		14
202 - 41		12
202 - 42		12
202 - 43		12
202 - 44		12
202 - 45		12
202 - 46		12
202 - 47		12
202 - 48		12
202 - 49		12
202 - 50		12
202 - 51		12
202 - 52		12
202 - 53		12
202 - 54		12
202 - 55		12
202 - 56		12
202 - 57		12
202 - 58		12
202 - 59		12
202 - 60		12
202 - 61		12
202 - 62		12
202 - 63		12
202 - 64		12
202 - 65		12
202 - 66		12
202 - 67		14
202 - 68		12
202 - 69		12
202 - 70		12
202 - 71		12
202 - 72		12
202 - 73		12
202 - 74		12
202 - 75		12
202 - 76		11
202 - 77		12
202 - 78		12
202 - 79		12
202 - 80		12
202 - 81		14
202 - 82		12
202 - 83		12
202 - 84		12
202 - 85		11
202 - 86		11
202 - 87		11
202 - 88		11
202 - 89		12
202 - 90		12
202 - 91		12
202 - 92		12
202 - 93		12
202 - 94		11
202 - 95		11
202 - 96		11
202 - 97		10
202 - 98		10
202 - 99		11
202 - 100		11
202 - 101		11
202 - 102		10
202 - 103		11
202 - 104		12
202 - 105		13
202 - 106		10
202 - 107		9
202 - 108		12
202 - 109		12
202 - 110		14
202 - 111		10
202 - 112		12
202 - 113		13
202 - 114		12
202 - 115		14
202 - 116		11
202 - 117		8
202 - 118		13
202 - 119		10
202 - 120		10
202 - 121		9
202 - 122		13
202 - 123		14
202 - 124		14
202 - 125		12
202 - 126		10
202 - 127		10
202 - 128		12
202 - 129		14
202 - 130		12
202 - 131		9
202 - 132		14
202 - 133		14
202 - 134		12
202 - 135		12
202 - 136		10
202 - 137		10
202 - 138		8
202 - 139		10
202 - 140		12
202 - 141		10
